Track name;Time;Displacement X Reference Frame;Displacement Y Reference Frame;Displacement Z Reference Frame;Position X Reference Frame;Position Y Reference Frame;Position Z Reference Frame;Velocity Angle X Reference Frame;Velocity Angle Y Reference Frame;Velocity Angle Z Reference Frame
1wt_D2Skin;11;6,8;5,11;-6,48;103,49;59,38;-79,32;58,24;43,8;116,71
1wt_E1EON;11;-15,46;34,17;-1,5;-29,79;-5,57;-58,35;117,06;28,16;97,26
1wt_E1Skin;11;-11,02;18,35;-5,79;-52,44;-17,43;-73,24;67,79;117,84;36,93
1wt_E2EON;11;-8,31;37,96;5,55;-37,94;6,86;-60,42;122,78;33,97;97,92
1wt_E2Skin;11;-16,36;17,51;-10,13;-69,41;-0,71;-82,72;99,27;31,42;60,28
1wt_F1EON;11;5,9;28,83;1,37;56,28;15,38;-61,31;60,82;29,25;88,17
1wt_F1Skin;11;-5,64;14,19;9,86;52,31;-1,2;-50,04;126,95;138,9;74,56
1wt_F2EON;11;8,74;13,61;-2,35;77,58;25,5;-67,42;83,05;171,77;85,61
1wt_F2Skin;11;3,46;-4,54;-2,9;64,84;2,17;-56,83;133,39;124,45;62,85
1wt_A1EON;12;5,09;18,77;-13,36;-17,83;143,34;-93,13;115,53;26,62;97,07
1wt_A1Skin;12;-17,83;20,06;-28,35;-69,55;127,37;-101,84;97,56;172,08;87,63
1wt_A2EON;12;-13,07;-3,37;-6,04;-27,61;109,49;-66,55;61,1;28,97;88,22
1wt_A2Skin;12;-16,55;18;-25,1;-97,46;103,7;-111,36;135,81;94,16;133,9
